"","Param_vals","RMSE","Acc"
"1",1,1.004163745858,0.995
"2",1.1,1.06059616258767,0.99
"3",1.2,1.21708114910844,0.985
"4",1.3,1.29432271339601,0.98
"5",1.4,1.41010138137148,0.966
"6",1.5,1.51384406086822,0.955
"7",1.6,1.559842679746,0.955
"8",1.7,1.71135605425914,0.94
"9",1.8,1.76055225793744,0.93
"10",1.9,1.85722616672607,0.906
"11",2,1.96823622220586,0.887
"12",3,3.02761488619582,0.81
"13",4,3.89960749185465,0.746
"14",5,4.93311459193932,0.688
"15",6,6.12596044023482,0.657
"16",7,6.79862159906067,0.638
"17",8,7.68709666504621,0.638
"18",9,9.06861316553647,0.612
"19",10,10.0658012444797,0.618
"20",11,11.4080772787265,0.594
"21",12,11.8403133767821,0.598
"22",13,12.8395638977374,0.6
"23",14,13.6746836632889,0.573
"24",15,15.3283229400618,0.549
"25",16,15.7164626596375,0.56
"26",17,16.777323756124,0.551
"27",18,17.1942349889868,0.571
"28",19,18.6153885246047,0.544
"29",20,19.8197158742226,0.542
"30",21,20.8767512645753,0.532
"31",22,21.4419525261334,0.538
"32",23,22.3867249657739,0.557
"33",24,24.7793639153242,0.555
"34",25,25.0083875296219,0.539
"35",26,25.0685089410422,0.551
"36",27,27.1793873729404,0.541
"37",28,28.7145279260937,0.555
"38",29,28.9902294928253,0.544
"39",30,30.4466945622894,0.532
"40",31,30.991116684772,0.532
"41",32,31.8183240493157,0.52
"42",33,32.7865688196819,0.542
"43",34,33.2162459945185,0.521
"44",35,34.5046437944368,0.544
"45",36,35.3754683553828,0.548
"46",37,35.336719679471,0.524
"47",38,37.8863710710888,0.51
"48",39,38.483766905558,0.531
"49",40,40.5425282506606,0.508
"50",41,41.5956414663603,0.52
"51",42,41.7712604700306,0.516
"52",43,42.9426747474267,0.534
"53",44,44.0461198440792,0.543
"54",45,45.4999682466671,0.516
"55",46,46.8112846952439,0.512
"56",47,46.6685870843185,0.512
"57",48,48.2646828592431,0.519
"58",49,48.7752941237723,0.534
"59",50,50.0634525672952,0.513
"60",51,52.2301861260318,0.497
"61",52,52.4841776895942,0.527
"62",53,51.6240504220844,0.491
"63",54,53.9262292148494,0.509
"64",55,55.4012232388622,0.523
"65",56,54.962541172693,0.521
"66",57,56.80527118676,0.516
"67",58,58.5296151017712,0.514
"68",59,59.2721080629431,0.531
"69",60,60.3461091719437,0.529
"70",61,61.9255200782242,0.54
"71",62,61.6451675474575,0.525
"72",63,62.7701670537553,0.506
"73",64,63.875598503598,0.51
"74",65,63.510362337798,0.521
"75",66,66.3007427270824,0.521
"76",67,64.7524955657929,0.541
"77",68,69.8601809412368,0.513
"78",69,69.9144399728842,0.5
"79",70,70.5331737912866,0.509
"80",71,69.6144645901036,0.511
"81",72,72.0817633601236,0.499
"82",73,73.3239026133681,0.504
"83",74,74.3764473292231,0.511
"84",75,73.2595772102282,0.512
"85",76,76.9357733984498,0.532
"86",77,75.5722519420449,0.49
"87",78,80.1362172048127,0.512
"88",79,80.9692305844716,0.511
"89",80,80.3785321076453,0.516
"90",81,78.0571079231856,0.513
"91",82,82.2730541120891,0.509
"92",83,85.7137111102494,0.504
"93",84,82.8618900691549,0.497
"94",85,85.8154627554049,0.51
"95",86,87.8044720495232,0.518
"96",87,85.9416850905092,0.525
"97",88,85.5285320591377,0.506
"98",89,87.5902058528151,0.515
"99",90,88.5994428243203,0.519
"100",91,92.8920309957426,0.51
"101",92,93.4893336266383,0.505
"102",93,92.1538508594187,0.533
"103",94,93.6394883660331,0.516
"104",95,95.9840977245149,0.51
"105",96,96.5353388141629,0.51
"106",97,98.0873265204632,0.513
"107",98,96.5076487274236,0.513
"108",99,95.4087060415952,0.504
"109",100,101.279972734902,0.51
